Family,Subfamily,Tribe,Genus,Species,Rectilinear,Expanded,Nymph expanded,Link Observation,Link Observation 2,,
Alydidae,Alydinae,,Alydus,calcaratus,1,0,0,https://www.inaturalist.org/observations/197676030,https://www.inaturalist.org/observations/170083019,,
Alydidae,Alydinae,,Alydus,pilosulus,1,0,0,https://www.inaturalist.org/observations/189161604,https://www.inaturalist.org/observations/173540478,,
Alydidae,Alydinae,,Apidaurus,conspersus,1,0,0,https://www.inaturalist.org/observations/101171421,https://www.inaturalist.org/observations/182876828,,
Alydidae,Alydinae,,Burtinus,luteomarginatus,1,0,NA,https://www.inaturalist.org/observations/202909875,,,
Alydidae,Alydinae,,Camptopus,lateralis,1,0,0,https://www.inaturalist.org/observations/189256411,https://www.inaturalist.org/observations/182052478,,
Alydidae,Alydinae,,Hamedius,incarnatus,1,0,0,https://www.inaturalist.org/observations/186665300,https://www.inaturalist.org/observations/204233141,,
Alydidae,Alydinae,,Heegeria,tangirica,1,0,0,https://www.inaturalist.org/observations/140138179,https://www.inaturalist.org/observations/64169760,,
Alydidae,Alydinae,,Hyalymenus,longispinus,1,0,0,https://www.inaturalist.org/observations/133359160,https://www.inaturalist.org/observations/31768434,,
Alydidae,Alydinae,,Hyalymenus,pulcher,1,0,NA,https://www.inaturalist.org/observations/195866227,,,
Alydidae,Alydinae,,Hyalymenus,sp.1,0,0,0,,,,
Alydidae,Alydinae,,Hyalymenus,sp.2,0,0,0,,,,
Alydidae,Alydinae,,Melanacanthus,margineguttatus,1,0,NA,https://www.inaturalist.org/observations/65147961,,,
Alydidae,Alydinae,,Melanacanthus,scutellaris,1,0,NA,https://www.inaturalist.org/observations/206205337,,,
Alydidae,Alydinae,,Melanacanthus,sp.,1,0,0,,https://www.inaturalist.org/observations/197261079,,
Alydidae,Alydinae,,Nariscus,sp.,1,0,NA,https://www.inaturalist.org/observations/197962942,,,
Alydidae,Alydinae,,Neomegalotomus,rufipes,1,0,0,https://www.inaturalist.org/observations/37080453,https://www.inaturalist.org/observations/107884953,,
Alydidae,Alydinae,,Riptortus,pedestris,1,0,0,https://www.inaturalist.org/observations/180226937,https://www.inaturalist.org/observations/180756283,,
Alydidae,Alydinae,,Riptortus,sp.,1,0,0,https://www.inaturalist.org/observations/189206136,https://www.inaturalist.org/observations/186524267,,
Alydidae,Alydinae,,Tenosius,sp.,1,0,0,https://www.inaturalist.org/observations/75512056,https://www.inaturalist.org/observations/157034912,,
Alydidae,Micrelytrinae,Leptocorisini,Leptocorisa,acuta,1,0,0,https://www.inaturalist.org/observations/125435487,https://www.inaturalist.org/observations/175919013,,
Alydidae,Micrelytrinae,Leptocorisini,Leptocorisa,bipunctata,NA,NA,NA,,,,
Alydidae,Micrelytrinae,Leptocorisini,Mutusca,brevicornis,1,0,0,https://www.inaturalist.org/observations/202038173,https://www.inaturalist.org/observations/197292500,,
Alydidae,Micrelytrinae,Leptocorisini,Stenocoris,filiformis,1,0,NA,https://www.inaturalist.org/observations/104235777,,,
Alydidae,Micrelytrinae,Leptocorisini,Stenocoris,furcifera,1,0,NA,https://www.inaturalist.org/observations/6290514,,,
Alydidae,Micrelytrinae,Leptocorisini,Stenocoris,tipuloides,1,0,0,https://www.inaturalist.org/observations/79701776,https://www.inaturalist.org/observations/84617412,,
Alydidae,Micrelytrinae,Leptocorisini,Stenocoris,sp.,1,0,0,https://www.inaturalist.org/observations/79701777,https://www.inaturalist.org/observations/84617413,,
Alydidae,Micrelytrinae,Micrelytrini,Darmistus,sp.,1,0,NA,https://www.inaturalist.org/observations/151544568,,,
Coreidae,Coreinae,Acanthocephalini,Acanthocephala,alata,1,0,0,https://www.inaturalist.org/observations/170138981,https://www.inaturalist.org/observations/179483724,,
Coreidae,Coreinae,Acanthocephalini,Acanthocephala,declivis,1,0,0,https://www.inaturalist.org/observations/218493869,https://www.inaturalist.org/observations/201623260,,
Coreidae,Coreinae,Acanthocephalini,Acanthocephala,femorata,1,0,0,https://www.inaturalist.org/observations/210506093,https://www.inaturalist.org/observations/55347387,,
Coreidae,Coreinae,Acanthocephalini,Acanthocephala,terminalis,1,0,0,https://www.inaturalist.org/observations/218680486,https://www.inaturalist.org/observations/189075416,,
Coreidae,Coreinae,Acanthocephalini,Acanthocephala,thomasi,1,0,0,https://www.inaturalist.org/observations/210350405,https://www.inaturalist.org/observations/192565856,,
,,,Acanthocephala,scutellata,1,0,NA,https://www.inaturalist.org/observations/39314119,,,
,,,Acanthocephala,mercur,1,0,NA,https://www.inaturalist.org/observations/146112351,,,
Coreidae,Coreinae,Acanthocephalini,Laminiceps,vergarae,1,0,NA,https://www.inaturalist.org/observations/39314088,,,
Coreidae,Coreinae,Acanthocephalini,Petalops,distinctus,1,0,NA,https://www.inaturalist.org/observations/4352845,,,
Coreidae,Coreinae,Acanthocephalini,Stenometapodus,ambiguus,1,0,NA,https://www.inaturalist.org/observations/35671604,,,
Coreidae,Coreinae,Acanthocephalini,Stenometapodus,v-luteum,1,0,NA,https://www.inaturalist.org/observations/28845875,,,
Coreidae,Coreinae,Acanthocephalini,Zygometapodus,castaneus,1,0,NA,https://www.inaturalist.org/observations/20491192,,,
Coreidae,Coreinae,Acanthocerini,Acanthocerus,cruciger,1,0,1,https://www.inaturalist.org/observations/171579814,https://www.inaturalist.org/observations/103494858,,
Coreidae,Coreinae,Acanthocerini,Athaumastus,sp.,1,0,1,,,,
,,Acanthocerini,Athaumastus,haematicus,1,0,1,https://www.inaturalist.org/observations/71569543,https://www.inaturalist.org/observations/71573392,,
Coreidae,Coreinae,Acanthocerini,Camptischium,clavipes,1,0,1,https://www.inaturalist.org/observations/148132832,https://www.inaturalist.org/observations/208699285,,
Coreidae,Coreinae,Acanthocerini,Crinocerus,sanctus,1,0,1,https://www.inaturalist.org/observations/195937367,https://www.inaturalist.org/observations/222606303,https://seb.org.br/admin/files/anais2/ANO%201986%20VOLUME%2015-N01/1986_V15_N1_A1.pdf,
Coreidae,Coreinae,Acanthocerini,Diactor,bilineatus,1,0,1,https://www.inaturalist.org/observations/214849763,https://www.inaturalist.org/observations/176955003,,
Coreidae,Coreinae,Acanthocerini,Euthochtha,galeator,1,0,1,https://www.inaturalist.org/observations/211865530,https://www.inaturalist.org/observations/196802219,https://academic.oup.com/aesa/article-abstract/62/3/469/23658?login=true,https://sci-hub.ru/10.1093/aesa/62.3.469
Coreidae,Coreinae,Acanthocerini,Zoreva,lacerna,1,0,1,https://www.inaturalist.org/observations/106722358,https://www.inaturalist.org/observations/202437536,,
Coreidae,Coreinae,Acanthocerini,Zoreva,lobulata,1,0,1,https://www.inaturalist.org/observations/208284668,https://www.inaturalist.org/observations/202437537,,
Coreidae,Coreinae,Acanthocorini,Acanthocoris,scaber,1,0,0,https://www.inaturalist.org/observations/161076467,https://www.inaturalist.org/observations/134824221,,
Coreidae,Coreinae,Acanthocorini,Acanthocoris,sordidus,1,0,0,,,,
Coreidae,Coreinae,Acanthocorini,Acanthocoris,sp.1,1,0,0,,,,
