",""x""",Species_Name,Family,Subfamily,Tribe,Genus,Species,Instar,Antennae,Antennomere_I,Antennomere_II,Antennomere_III,Reference,,,,,,,,,,,,,,,,,,
"1,""Acanthocephala_alata_CMF_0025""",Acanthocephala_alata,Coreidae,Coreinae,Acanthocephalini,Acanthocephala,alata,5,1,1,1,1,https://www.inaturalist.org/observations/302255608,,,,,,,,,,,,,,,,,,
"2,""Acanthocephala_declivis_CMF_0069""",Acanthocephala_declivis,Coreidae,Coreinae,Acanthocephalini,Acanthocephala,declivis,5,1,1,1,1,https://www.inaturalist.org/observations/201623260,,,,,,,,,,,,,,,,,,
"3,""Acanthocephala_terminalis_CMF_0123""",Acanthocephala_terminalis,Coreidae,Coreinae,Acanthocephalini,Acanthocephala,terminalis,5,1,1,1,1,https://www.inaturalist.org/observations/167409467,,,,,,,,,,,,,,,,,,
"4,""Acanthocephala_femorata_CMF_0032""",Acanthocephala_femorata,Coreidae,Coreinae,Acanthocephalini,Acanthocephala,femorata,3,1,1,1,1,https://www.inaturalist.org/observations/189075416,,,,,,,,,,,,,,,,,,
"5,""Acanthocoris_scaber_CMF_0177""",Acanthocoris_scaber,Coreidae,Coreinae,Acanthocorini,Acanthocoris,scaber,5,1,1,1,1,https://www.inaturalist.org/observations/134824221,,,,,,,,,,,,,,,,,,
"6,""Acanthocoris_sordidus_CMF_0276""",Acanthocoris_sordidus,Coreidae,Coreinae,Acanthocorini,Acanthocoris,sordidus,3,1,1,1,1,https://www.inaturalist.org/observations/309117062,,,,,,,,,,,,,,,,,,
"7,""Acanthocoris_sp_CMF_0331""",Acanthocoris_sp.1,Coreidae,Coreinae,Acanthocorini,Acanthocoris,sp.1,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"8,""Acanthocoris_sp_CMF_0766""",Acanthocoris_sp.2,Coreidae,Coreinae,Acanthocorini,Acanthocoris,sp.2,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"9,""Acanthocoris_sp_CMF_0054""",Acanthocoris_sp.3,Coreidae,Coreinae,Acanthocorini,Acanthocoris,sp.3,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"10,""Choerommatus_angusticollis_CMF_0012""",Choerommatus_angusticollis,Coreidae,Coreinae,Acanthocorini,Choerommatus,angusticollis,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"11,""Physomerus_grossipes_CMF_0175""",Physomerus_grossipes,Coreidae,Coreinae,Acanthocorini,Physomerus,grossipes,5,1,1,1,1,https://www.inaturalist.org/observations/214401318,,,,,,,,,,,,,,,,,,
"12,""Rhyticoris_terminalis_CMF_0702""",Rhyticoris_terminalis,Coreidae,Coreinae,Acanthocorini,Rhyticoris,terminalis,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"13,""Petascelis_remipes_CMF_0330""",Petascelis_remipes,Coreidae,Coreinae,Petascelini,Petascelis,remipes,5,1,1,1,1,https://www.inaturalist.org/observations/203979991,,,,,,,,,,,,,,,,,,
"14,""Sephina_geniculata_CMF_0172""",Sephina_geniculata,Coreidae,Coreinae,Spartocerini,Sephina,geniculata,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"15,""Sephina_subulata_CMF_0799""",Sephina_subulata,Coreidae,Coreinae,Spartocerini,Sephina,subulata,5,1,1,1,1,https://www.inaturalist.org/observations/41141285,,,,,,,,,,,,,,,,,,
"16,""Spartocera_batatas_CMF_0096""",Spartocera_batatas,Coreidae,Coreinae,Spartocerini,Spartocera,batatas,5,1,1,1,1,https://www.inaturalist.org/observations/152352131,,,,,,,,,,,,,,,,,,
"17,""Spartocera_fusca_CMF_0526""",Spartocera_fusca,Coreidae,Coreinae,Spartocerini,Spartocera,fusca,5,1,1,1,1,https://www.inaturalist.org/observations/338051313,,,,,,,,,,,,,,,,,,
