",""x""",Species_Name,Family,Subfamily,Tribe,Genus,Species,Antennae,Antennomere_I,Antennomere_II,Antennomere_III,Sum
"4,""Acanthocephala_femorata_CMF_0032""",Acanthocephala_femorata,Coreidae,Coreinae,Acanthocephalini,Acanthocephala,femorata,1,1,1,1,3
"6,""Acanthocoris_sordidus_CMF_0276""",Acanthocoris_sordidus,Coreidae,Coreinae,Acanthocorini,Acanthocoris,sordidus,1,1,1,1,3
"10,""Choerommatus_angusticollis_CMF_0012""",Choerommatus_angusticollis,Coreidae,Coreinae,Acanthocorini,Choerommatus,angusticollis,1,1,1,1,3
"11,""Physomerus_grossipes_CMF_0175""",Physomerus_grossipes,Coreidae,Coreinae,Acanthocorini,Physomerus,grossipes,1,1,1,1,3
"12,""Rhyticoris_terminalis_CMF_0702""",Rhyticoris_terminalis,Coreidae,Coreinae,Acanthocorini,Rhyticoris,terminalis,1,1,1,1,3
"13,""Petascelis_remipes_CMF_0330""",Petascelis_remipes,Coreidae,Coreinae,Petascelini,Petascelis,remipes,1,1,1,1,3
"15,""Sephina_subulata_CMF_0799""",Sephina_subulata,Coreidae,Coreinae,Spartocerini,Sephina,subulata,1,1,1,1,3
"16,""Spartocera_batatas_CMF_0096""",Spartocera_batatas,Coreidae,Coreinae,Spartocerini,Spartocera,batatas,1,1,1,1,3
"18,""Alydus_calcaratus_CMF_0925""",Alydus_calcaratus,Alydidae,Alydinae,,Alydus,calcaratus,1,1,1,1,3
"20,""Burtinus_luteomarginatus_CMF_0901""",Burtinus_luteomarginatus,Alydidae,Alydinae,,Burtinus,luteomarginatus,1,1,1,1,3
"21,""Neomegalotomus_rufipes_CMF_0098""",Neomegalotomus_rufipes,Alydidae,Alydinae,,Neomegalotomus,rufipes,1,1,1,1,3
"22,""Apidaurus_conspersus_CMF_0900""",Apidaurus_conspersus,Alydidae,Alydinae,,Apidaurus,conspersus,1,1,1,1,3
"23,""Camptopus_lateralis_CMF_0929""",Camptopus_lateralis,Alydidae,Alydinae,,Camptopus,lateralis,1,1,1,1,3
"24,""Hamedius_incarnatus_CMF_0414""",Hamedius_incarnatus,Alydidae,Alydinae,,Hamedius,incarnatus,1,1,1,1,3
"25,""Riptortus_pedestris_CMF_0878""",Riptortus_pedestris,Alydidae,Alydinae,,Riptortus,pedestris,1,1,1,1,3
"27,""Heegeria_tangirica_CMF_0961""",Heegeria_tangirica,Alydidae,Alydinae,,Heegeria,tangirica,1,1,1,1,3
"28,""Nariscus_sp_CMF_0908""",Nariscus_sp.,Alydidae,Alydinae,,Nariscus,sp.,1,1,1,1,3
"30,""Melanacanthus_sp_CMF_0416""",Melanacanthus_sp.,Alydidae,Alydinae,,Melanacanthus,sp.,1,1,1,1,3
"32,""Tenosius_sp_CMF_0966""",Tenosius_sp.,Alydidae,Alydinae,,Tenosius,sp.,1,1,1,1,3
