",""x""";Species_Name;Family;Subfamily;Tribe;Genus;Species;Antennae;Antennomere_I;Antennomere_II;Antennomere_III;Sum;Reference;
"1,""Acanthocephala_alata_CMF_0025""";Acanthocephala_alata;Coreidae;Coreinae;Acanthocephalini;Acanthocephala;alata;1;1;1;1;3;https://www.inaturalist.org/observations/170138981;
"10,""Choerommatus_angusticollis_CMF_0012""";Choerommatus_angusticollis;Coreidae;Coreinae;Acanthocorini;Choerommatus;angusticollis;1;1;1;1;3;https://www.inaturalist.org/observations/181981885;
"100,""Tylocryptus_egenus_CMF_1142""";Tylocryptus_egenus;Coreidae;Coreinae;Agriopocorini;Tylocryptus;egenus;1;1;1;1;3;https://www.inaturalist.org/observations/64849670;
"101,""Hygia_sp_CMF_0809""";Hygia_sp.;Coreidae;Coreinae;Colpurini;Hygia;sp.;0;0;0;0;0;NA;
"102,""Typhlocolpura_chinai_CMF_0006""";Typhlocolpura_chinai;Coreidae;Coreinae;Colpurini;Typhlocolpura;chinai;1;1;1;1;3;http://coreoidea.speciesfile.org/Common/basic/ShowImage.aspx?TaxonNameID=1187889&ImageID=180488;
"103,""Homalocolpura_parrilloi_CMF_0609""";Homalocolpura_parrilloi;Coreidae;Coreinae;Colpurini;Homalocolpura;parrilloi;0;0;0;0;0;NA;
"104,""Amorbus_alternatus_CMF_1086""";Amorbus_alternatus;Coreidae;Coreinae;Amorbini;Amorbus;alternatus;1;1;1;1;3;https://www.inaturalist.org/observations/202245630;
"105,""Mirabilamorbus_n_sp_CMF_1149""";Mirabilamorbus_sp.;Coreidae;Coreinae;Amorbini;Mirabilamorbus;sp.;0;0;0;0;0;NA;
"106,""Gelonus_tasmanicus_CMF_1152""";Gelonus_tasmanicus;Coreidae;Coreinae;Amorbini;Gelonus;tasmanicus;1;1;1;1;3;https://www.inaturalist.org/observations/213673063;
"107,""Anoplocnemis_curvipes_CMF_0332""";Anoplocnemis_curvipes;Coreidae;Coreinae;Mictini;Anoplocnemis;curvipes;1;1;1;1;3;https://www.inaturalist.org/observations/209136052;
"108,""Anoplocnemis_phasiana_CMF_0761""";Anoplocnemis_phasiana;Coreidae;Coreinae;Mictini;Anoplocnemis;phasiana;1;1;1;1;3;https://www.inaturalist.org/observations/18684907;
