",""x""",Species_Name,Family,Subfamily,Tribe,Genus,Species,Instar,Antennae,Antennomere_I,Antennomere_II,Antennomere_III,Sum,Reference
"4,""Acanthocephala_femorata_CMF_0032""",Acanthocephala_femorata,Coreidae,Coreinae,Acanthocephalini,Acanthocephala,femorata,3,1,1,1,1,3,https://www.inaturalist.org/observations/189075416
"6,""Acanthocoris_sordidus_CMF_0276""",Acanthocoris_sordidus,Coreidae,Coreinae,Acanthocorini,Acanthocoris,sordidus,3,1,1,1,1,3,https://www.inaturalist.org/observations/309117062
"10,""Choerommatus_angusticollis_CMF_0012""",Choerommatus_angusticollis,Coreidae,Coreinae,Acanthocorini,Choerommatus,angusticollis,,0,0,0,0,0,
"11,""Physomerus_grossipes_CMF_0175""",Physomerus_grossipes,Coreidae,Coreinae,Acanthocorini,Physomerus,grossipes,5,1,1,1,1,3,https://www.inaturalist.org/observations/214401318
"12,""Rhyticoris_terminalis_CMF_0702""",Rhyticoris_terminalis,Coreidae,Coreinae,Acanthocorini,Rhyticoris,terminalis,,0,0,0,0,0,
"13,""Petascelis_remipes_CMF_0330""",Petascelis_remipes,Coreidae,Coreinae,Petascelini,Petascelis,remipes,5,1,1,1,1,3,https://www.inaturalist.org/observations/203979991
"15,""Sephina_subulata_CMF_0799""",Sephina_subulata,Coreidae,Coreinae,Spartocerini,Sephina,subulata,5,1,1,1,1,3,https://www.inaturalist.org/observations/41141285
"16,""Spartocera_batatas_CMF_0096""",Spartocera_batatas,Coreidae,Coreinae,Spartocerini,Spartocera,batatas,5,1,1,1,1,3,https://www.inaturalist.org/observations/152352131
"18,""Alydus_calcaratus_CMF_0925""",Alydus_calcaratus,Alydidae,Alydinae,,Alydus,calcaratus,4,1,1,1,1,3,https://www.inaturalist.org/observations/170083019
"20,""Burtinus_luteomarginatus_CMF_0901""",Burtinus_luteomarginatus,Alydidae,Alydinae,,Burtinus,luteomarginatus,,0,0,0,0,0,
"21,""Neomegalotomus_rufipes_CMF_0098""",Neomegalotomus_rufipes,Alydidae,Alydinae,,Neomegalotomus,rufipes,5,1,1,1,1,3,https://www.inaturalist.org/observations/107884953
"22,""Apidaurus_conspersus_CMF_0900""",Apidaurus_conspersus,Alydidae,Alydinae,,Apidaurus,conspersus,5,1,1,1,1,3,https://www.inaturalist.org/observations/182876828
"23,""Camptopus_lateralis_CMF_0929""",Camptopus_lateralis,Alydidae,Alydinae,,Camptopus,lateralis,5,1,1,1,1,3,https://www.inaturalist.org/observations/182052478
"24,""Hamedius_incarnatus_CMF_0414""",Hamedius_incarnatus,Alydidae,Alydinae,,Hamedius,incarnatus,5,1,1,1,1,3,https://www.inaturalist.org/observations/204233141
"25,""Riptortus_pedestris_CMF_0878""",Riptortus_pedestris,Alydidae,Alydinae,,Riptortus,pedestris,3,1,1,1,1,3,https://www.inaturalist.org/observations/180756283
