;x;Species_Name;Family;Subfamily;Tribe;Genus;Species;Antenna
1;Acanthocephala_alata_CMF_0025;Acanthocephala_alata;Coreidae;Coreinae;Acanthocephalini;Acanthocephala;alata;Straight
2;Acanthocephala_declivis_CMF_0069;Acanthocephala_declivis;Coreidae;Coreinae;Acanthocephalini;Acanthocephala;declivis;Straight
3;Acanthocephala_terminalis_CMF_0123;Acanthocephala_terminalis;Coreidae;Coreinae;Acanthocephalini;Acanthocephala;terminalis;Straight
4;Acanthocephala_femorata_CMF_0032;Acanthocephala_femorata;Coreidae;Coreinae;Acanthocephalini;Acanthocephala;femorata;Straight
5;Acanthocoris_scaber_CMF_0177;Acanthocoris_scaber;Coreidae;Coreinae;Acanthocorini;Acanthocoris;scaber;Straight
6;Acanthocoris_sordidus_CMF_0276;Acanthocoris_sordidus;Coreidae;Coreinae;Acanthocorini;Acanthocoris;sordidus;Straight
10;Choerommatus_angusticollis_CMF_0012;Choerommatus_angusticollis;Coreidae;Coreinae;Acanthocorini;Choerommatus;angusticollis;No_data
11;Physomerus_grossipes_CMF_0175;Physomerus_grossipes;Coreidae;Coreinae;Acanthocorini;Physomerus;grossipes;Straight
12;Rhyticoris_terminalis_CMF_0702;Rhyticoris_terminalis;Coreidae;Coreinae;Acanthocorini;Rhyticoris;terminalis;Straight
13;Petascelis_remipes_CMF_0330;Petascelis_remipes;Coreidae;Coreinae;Petascelini;Petascelis;remipes;Straight
14;Sephina_geniculata_CMF_0172;Sephina_geniculata;Coreidae;Coreinae;Spartocerini;Sephina;geniculata;Straight
15;Sephina_subulata_CMF_0799;Sephina_subulata;Coreidae;Coreinae;Spartocerini;Sephina;subulata;Straight
16;Spartocera_batatas_CMF_0096;Spartocera_batatas;Coreidae;Coreinae;Spartocerini;Spartocera;batatas;Straight
17;Spartocera_fusca_CMF_0526;Spartocera_fusca;Coreidae;Coreinae;Spartocerini;Spartocera;fusca;Straight
18;Alydus_calcaratus_CMF_0925;Alydus_calcaratus;Alydidae;Alydinae;;Alydus;calcaratus;Straight
19;Alydus_pilosulus_CMF_0775;Alydus_pilosulus;Alydidae;Alydinae;;Alydus;pilosulus;Straight
20;Burtinus_luteomarginatus_CMF_0901;Burtinus_luteomarginatus;Alydidae;Alydinae;;Burtinus;luteomarginatus;Straight
21;Neomegalotomus_rufipes_CMF_0098;Neomegalotomus_rufipes;Alydidae;Alydinae;;Neomegalotomus;rufipes;Straight
22;Apidaurus_conspersus_CMF_0900;Apidaurus_conspersus;Alydidae;Alydinae;;Apidaurus;conspersus;Straight
23;Camptopus_lateralis_CMF_0929;Camptopus_lateralis;Alydidae;Alydinae;;Camptopus;lateralis;Straight
24;Hamedius_incarnatus_CMF_0414;Hamedius_incarnatus;Alydidae;Alydinae;;Hamedius;incarnatus;Straight
25;Riptortus_pedestris_CMF_0878;Riptortus_pedestris;Alydidae;Alydinae;;Riptortus;pedestris;Straight
27;Heegeria_tangirica_CMF_0961;Heegeria_tangirica;Alydidae;Alydinae;;Heegeria;tangirica;Straight
29;Melanacanthus_margineguttatus_CMF_0418;Melanacanthus_margineguttatus;Alydidae;Alydinae;;Melanacanthus;margineguttatus;Straight
31;Melanacanthus_scutellaris_CMF_0420;Melanacanthus_scutellaris;Alydidae;Alydinae;;Melanacanthus;scutellaris;Straight
33;Hyalymenus_longispinus_CMF_0339;Hyalymenus_longispinus;Alydidae;Alydinae;;Hyalymenus;longispinus;Straight
35;Hyalymenus_pulcher_CMF_0546;Hyalymenus_pulcher;Alydidae;Alydinae;;Hyalymenus;pulcher;Straight
37;Anoplocerus_luteus_CMF_0989;Anoplocerus_luteus;Coreidae;Pseudophloeinae;Pseudophloeini;Anoplocerus;luteus;Straight
38;Arenocoris_waltlii_CMF_0911;Arenocoris_waltlii;Coreidae;Pseudophloeinae;Pseudophloeini;Arenocoris;waltlii;Straight
39;Bathysolen_nubilus_CMF_0602;Bathysolen_nubilus;Coreidae;Pseudophloeinae;Pseudophloeini;Bathysolen;nubilus;Straight
40;Coriomeris_affinis_CMF_0935;Coriomeris_affinis;Coreidae;Pseudophloeinae;Pseudophloeini;Coriomeris;affinis;Straight
41;Coriomeris_denticulatus_CMF_0979;Coriomeris_nigricornis;Coreidae;Pseudophloeinae;Pseudophloeini;Coriomeris;nigricornis;Straight
42;Coriomeris_nigricornis_CMF_0560;Coriomeris_denticulatus;Coreidae;Pseudophloeinae;Pseudophloeini;Coriomeris;denticulatus;Straight
43;Strobilotoma_typhaecornis_CMF_0923;Strobilotoma_typhaecornis;Coreidae;Pseudophloeinae;Pseudophloeini;Strobilotoma;typhaecornis;Straight
44;Ceraleptus_gracilicornis_CMF_0988;Ceraleptus_gracilicornis;Coreidae;Pseudophloeinae;Pseudophloeini;Ceraleptus;gracilicornis;Straight
45;Nemocoris_falleni_CMF_0994;Nemocoris_falleni;Coreidae;Pseudophloeinae;Pseudophloeini;Nemocoris;falleni;Straight
46;Ceraleptus_obtusus_CMF_0931;Ceraleptus_obtusus;Coreidae;Pseudophloeinae;Pseudophloeini;Ceraleptus;obtusus;Straight
47;Hoplolomia_scabricula_CMF_0857;Hoplolomia_scabricula;Coreidae;Pseudophloeinae;Pseudophloeini;Hoplolomia;scabricula;Straight
48;Pseudomyla_cornuta_CMF_01122;Pseudomyla_cornuta;Coreidae;Pseudophloeinae;Pseudophloeini;Pseudomyla;cornuta;Straight
49;Psilolomia_brunneofusca_CMF_0803;Psilolomia_brunneofusca;Coreidae;Pseudophloeinae;Pseudophloeini;Psilolomia;brunneofusca;Straight
50;Psilolomia_parva_CMF_0871;Psilolomia_parva;Coreidae;Pseudophloeinae;Pseudophloeini;Psilolomia;parva;Straight
51;Mevanidea_hystrix_CMF_1088;Mevanidea_hystrix;Coreidae;Pseudophloeinae;Pseudophloeini;Mevanidea;hystrix;Straight
