;x;Species_Name;Family;Subfamily;Tribe;Genus;Species;Antena
1;Acanthocephala_alata_CMF_0025;Acanthocephala_alata;Coreidae;Coreinae;Acanthocephalini;Acanthocephala;sp;1
5;Acanthocoris_scaber_CMF_0177;Acanthocoris_scaber;Coreidae;Coreinae;Acanthocorini;Acanthocoris;sp;1
10;Choerommatus_angusticollis_CMF_0012;Choerommatus_angusticollis;Coreidae;Coreinae;Acanthocorini;Choerommatus;sp;1
11;Physomerus_grossipes_CMF_0175;Physomerus_grossipes;Coreidae;Coreinae;Acanthocorini;Physomerus;sp;1
12;Rhyticoris_terminalis_CMF_0702;Rhyticoris_terminalis;Coreidae;Coreinae;Acanthocorini;Rhyticoris;sp;1
13;Petascelis_remipes_CMF_0330;Petascelis_remipes;Coreidae;Coreinae;Petascelini;Petascelis;sp;1
14;Sephina_geniculata_CMF_0172;Sephina_geniculata;Coreidae;Coreinae;Spartocerini;Sephina;sp;1
16;Spartocera_batatas_CMF_0096;Spartocera_batatas;Coreidae;Coreinae;Spartocerini;Spartocera;sp;1
18;Alydus_calcaratus_CMF_0925;Alydus_calcaratus;Alydidae;Alydinae;;Alydus;sp;1
20;Burtinus_luteomarginatus_CMF_0901;Burtinus_luteomarginatus;Alydidae;Alydinae;;Burtinus;sp;1
21;Neomegalotomus_rufipes_CMF_0098;Neomegalotomus_rufipes;Alydidae;Alydinae;;Neomegalotomus;sp;1
22;Apidaurus_conspersus_CMF_0900;Apidaurus_conspersus;Alydidae;Alydinae;;Apidaurus;sp;1
23;Camptopus_lateralis_CMF_0929;Camptopus_lateralis;Alydidae;Alydinae;;Camptopus;sp;1
24;Hamedius_incarnatus_CMF_0414;Hamedius_incarnatus;Alydidae;Alydinae;;Hamedius;sp;1
25;Riptortus_pedestris_CMF_0878;Riptortus_pedestris;Alydidae;Alydinae;;Riptortus;sp;1
27;Heegeria_tangirica_CMF_0961;Heegeria_tangirica;Alydidae;Alydinae;;Heegeria;sp;1
28;Nariscus_sp_CMF_0908;Nariscus_sp.;Alydidae;Alydinae;;Nariscus;sp;1
29;Melanacanthus_margineguttatus_CMF_0418;Melanacanthus_margineguttatus;Alydidae;Alydinae;;Melanacanthus;sp;1
32;Tenosius_sp_CMF_0966;Tenosius_sp.;Alydidae;Alydinae;;Tenosius;sp;1
33;Hyalymenus_longispinus_CMF_0339;Hyalymenus_longispinus;Alydidae;Alydinae;;Hyalymenus;sp;1
37;Anoplocerus_luteus_CMF_0989;Anoplocerus_luteus;Coreidae;Pseudophloeinae;Pseudophloeini;Anoplocerus;sp;1
38;Arenocoris_waltlii_CMF_0911;Arenocoris_waltlii;Coreidae;Pseudophloeinae;Pseudophloeini;Arenocoris;sp;1
