;x;Species_Name;Family;Subfamily;Tribe;Genus;Species;Antena
1;Acanthocephala_alata_CMF_0025;Acanthocephala_alata;Coreidae;Coreinae;Acanthocephalini;Acanthocephala;alata;1
2;Acanthocephala_declivis_CMF_0069;Acanthocephala_declivis;Coreidae;Coreinae;Acanthocephalini;Acanthocephala;declivis;1
3;Acanthocephala_terminalis_CMF_0123;Acanthocephala_terminalis;Coreidae;Coreinae;Acanthocephalini;Acanthocephala;terminalis;1
4;Acanthocephala_femorata_CMF_0032;Acanthocephala_femorata;Coreidae;Coreinae;Acanthocephalini;Acanthocephala;femorata;1
5;Acanthocoris_scaber_CMF_0177;Acanthocoris_scaber;Coreidae;Coreinae;Acanthocorini;Acanthocoris;scaber;2
6;Acanthocoris_sordidus_CMF_0276;Acanthocoris_sordidus;Coreidae;Coreinae;Acanthocorini;Acanthocoris;sordidus;2
7;Acanthocoris_sp_CMF_0331;Acanthocoris_sp.1;Coreidae;Coreinae;Acanthocorini;Acanthocoris;sp.1;2
8;Acanthocoris_sp_CMF_0766;Acanthocoris_sp.2;Coreidae;Coreinae;Acanthocorini;Acanthocoris;sp.2;2
9;Acanthocoris_sp_CMF_0054;Acanthocoris_sp.3;Coreidae;Coreinae;Acanthocorini;Acanthocoris;sp.3;2
10;Choerommatus_angusticollis_CMF_0012;Choerommatus_angusticollis;Coreidae;Coreinae;Acanthocorini;Choerommatus;angusticollis;0
11;Physomerus_grossipes_CMF_0175;Physomerus_grossipes;Coreidae;Coreinae;Acanthocorini;Physomerus;grossipes;1
12;Rhyticoris_terminalis_CMF_0702;Rhyticoris_terminalis;Coreidae;Coreinae;Acanthocorini;Rhyticoris;terminalis;1
13;Petascelis_remipes_CMF_0330;Petascelis_remipes;Coreidae;Coreinae;Petascelini;Petascelis;remipes;1
14;Sephina_geniculata_CMF_0172;Sephina_geniculata;Coreidae;Coreinae;Spartocerini;Sephina;geniculata;1
15;Sephina_subulata_CMF_0799;Sephina_subulata;Coreidae;Coreinae;Spartocerini;Sephina;subulata;1
16;Spartocera_batatas_CMF_0096;Spartocera_batatas;Coreidae;Coreinae;Spartocerini;Spartocera;batatas;1
17;Spartocera_fusca_CMF_0526;Spartocera_fusca;Coreidae;Coreinae;Spartocerini;Spartocera;fusca;1
18;Alydus_calcaratus_CMF_0925;Alydus_calcaratus;Alydidae;Alydinae;;Alydus;calcaratus;1
19;Alydus_pilosulus_CMF_0775;Alydus_pilosulus;Alydidae;Alydinae;;Alydus;pilosulus;1
20;Burtinus_luteomarginatus_CMF_0901;Burtinus_luteomarginatus;Alydidae;Alydinae;;Burtinus;luteomarginatus;1
21;Neomegalotomus_rufipes_CMF_0098;Neomegalotomus_rufipes;Alydidae;Alydinae;;Neomegalotomus;rufipes;1
22;Apidaurus_conspersus_CMF_0900;Apidaurus_conspersus;Alydidae;Alydinae;;Apidaurus;conspersus;1
23;Camptopus_lateralis_CMF_0929;Camptopus_lateralis;Alydidae;Alydinae;;Camptopus;lateralis;1
24;Hamedius_incarnatus_CMF_0414;Hamedius_incarnatus;Alydidae;Alydinae;;Hamedius;incarnatus;1
25;Riptortus_pedestris_CMF_0878;Riptortus_pedestris;Alydidae;Alydinae;;Riptortus;pedestris;1
26;Riptortus_sp_CMF_0404;Riptortus_sp.;Alydidae;Alydinae;;Riptortus;sp.;1
27;Heegeria_tangirica_CMF_0961;Heegeria_tangirica;Alydidae;Alydinae;;Heegeria;tangirica;1
28;Nariscus_sp_CMF_0908;Nariscus_sp.;Alydidae;Alydinae;;Nariscus;sp.;1
29;Melanacanthus_margineguttatus_CMF_0418;Melanacanthus_margineguttatus;Alydidae;Alydinae;;Melanacanthus;margineguttatus;1
30;Melanacanthus_sp_CMF_0416;Melanacanthus_sp.;Alydidae;Alydinae;;Melanacanthus;sp.;1
31;Melanacanthus_scutellaris_CMF_0420;Melanacanthus_scutellaris;Alydidae;Alydinae;;Melanacanthus;scutellaris;1
32;Tenosius_sp_CMF_0966;Tenosius_sp.;Alydidae;Alydinae;;Tenosius;sp.;1
33;Hyalymenus_longispinus_CMF_0339;Hyalymenus_longispinus;Alydidae;Alydinae;;Hyalymenus;longispinus;1
34;Hyalymenus_sp_WTP_CMF_1139;Hyalymenus_sp.1;Alydidae;Alydinae;;Hyalymenus;sp.1;1
35;Hyalymenus_pulcher_CMF_0546;Hyalymenus_pulcher;Alydidae;Alydinae;;Hyalymenus;pulcher;1
36;Hyalymenus_sp_CMF_0336;Hyalymenus_sp.2;Alydidae;Alydinae;;Hyalymenus;sp.2;1
37;Anoplocerus_luteus_CMF_0989;Anoplocerus_luteus;Coreidae;Pseudophloeinae;Pseudophloeini;Anoplocerus;luteus;2
38;Arenocoris_waltlii_CMF_0911;Arenocoris_waltlii;Coreidae;Pseudophloeinae;Pseudophloeini;Arenocoris;waltlii;2
39;Bathysolen_nubilus_CMF_0602;Bathysolen_nubilus;Coreidae;Pseudophloeinae;Pseudophloeini;Bathysolen;nubilus;2
40;Coriomeris_affinis_CMF_0935;Coriomeris_affinis;Coreidae;Pseudophloeinae;Pseudophloeini;Coriomeris;affinis;2
41;Coriomeris_denticulatus_CMF_0979;Coriomeris_nigricornis;Coreidae;Pseudophloeinae;Pseudophloeini;Coriomeris;nigricornis;2
42;Coriomeris_nigricornis_CMF_0560;Coriomeris_denticulatus;Coreidae;Pseudophloeinae;Pseudophloeini;Coriomeris;denticulatus;2
43;Strobilotoma_typhaecornis_CMF_0923;Strobilotoma_typhaecornis;Coreidae;Pseudophloeinae;Pseudophloeini;Strobilotoma;typhaecornis;2
44;Ceraleptus_gracilicornis_CMF_0988;Ceraleptus_gracilicornis;Coreidae;Pseudophloeinae;Pseudophloeini;Ceraleptus;gracilicornis;2
45;Nemocoris_falleni_CMF_0994;Nemocoris_falleni;Coreidae;Pseudophloeinae;Pseudophloeini;Nemocoris;falleni;1
46;Ceraleptus_obtusus_CMF_0931;Ceraleptus_obtusus;Coreidae;Pseudophloeinae;Pseudophloeini;Ceraleptus;obtusus;2
47;Hoplolomia_scabricula_CMF_0857;Hoplolomia_scabricula;Coreidae;Pseudophloeinae;Pseudophloeini;Hoplolomia;scabricula;0
48;Pseudomyla_cornuta_CMF_01122;Pseudomyla_cornuta;Coreidae;Pseudophloeinae;Pseudophloeini;Pseudomyla;cornuta;2
49;Psilolomia_brunneofusca_CMF_0803;Psilolomia_brunneofusca;Coreidae;Pseudophloeinae;Pseudophloeini;Psilolomia;brunneofusca;1
50;Psilolomia_parva_CMF_0871;Psilolomia_parva;Coreidae;Pseudophloeinae;Pseudophloeini;Psilolomia;parva;2
51;Mevanidea_hystrix_CMF_1088;Mevanidea_hystrix;Coreidae;Pseudophloeinae;Pseudophloeini;Mevanidea;hystrix;2
52;Mevanidea_spiniceps_CMF_0950_0953;Mevanidea_spiniceps;Coreidae;Pseudophloeinae;Pseudophloeini;Mevanidea;spiniceps;0
53;Paramyla_suspecta_CMF_0807;Paramyla_suspecta;Coreidae;Pseudophloeinae;Pseudophloeini;Paramyla;suspecta;0
54;Myla_sp_CMF_0091;Myla_sp.;Coreidae;Pseudophloeinae;Pseudophloeini;Myla;sp.;2
55;Vilga_dallasi_CMF_1047;Vilga_dallasi;Coreidae;Pseudophloeinae;Pseudophloeini;Vilga;dallasi;2
56;Vilga_sanctipauli_CMF_1048;Vilga_sanctipauli;Coreidae;Pseudophloeinae;Pseudophloeini;Vilga;sanctipauli;0
57;Vilga_westwoodi_CMF_1050;Vilga_westwoodi;Coreidae;Pseudophloeinae;Pseudophloeini;Vilga;westwoodi;2
58;Clavigralla_elongata_CMF_0944;Clavigralla_elongata;Coreidae;Pseudophloeinae;Clavigrallini;Clavigralla;elongata;2
59;Clavigralla_minor_CMF_0334;Clavigralla_minor;Coreidae;Pseudophloeinae;Clavigrallini;Clavigralla;minor;0
