species
Acanthocephala_alata
Acanthocephala_declivis
"3,""Acanthocephala_terminalis_CMF_0123"""
"4,""Acanthocephala_femorata_CMF_0032"""
"5,""Acanthocoris_scaber_CMF_0177"""
"6,""Acanthocoris_sordidus_CMF_0276"""
"7,""Acanthocoris_sp_CMF_0331"""
"8,""Acanthocoris_sp_CMF_0766"""
"9,""Acanthocoris_sp_CMF_0054"""
"10,""Choerommatus_angusticollis_CMF_0012"""
"11,""Physomerus_grossipes_CMF_0175"""
"12,""Rhyticoris_terminalis_CMF_0702"""
"13,""Petascelis_remipes_CMF_0330"""
"14,""Sephina_geniculata_CMF_0172"""
"15,""Sephina_subulata_CMF_0799"""
"16,""Spartocera_batatas_CMF_0096"""
"17,""Spartocera_fusca_CMF_0526"""
"18,""Alydus_calcaratus_CMF_0925"""
"19,""Alydus_pilosulus_CMF_0775"""
"20,""Burtinus_luteomarginatus_CMF_0901"""
"21,""Neomegalotomus_rufipes_CMF_0098"""
"22,""Apidaurus_conspersus_CMF_0900"""
"23,""Camptopus_lateralis_CMF_0929"""
"24,""Hamedius_incarnatus_CMF_0414"""
"25,""Riptortus_pedestris_CMF_0878"""
"26,""Riptortus_sp_CMF_0404"""
"27,""Heegeria_tangirica_CMF_0961"""
"28,""Nariscus_sp_CMF_0908"""
"29,""Melanacanthus_margineguttatus_CMF_0418"""
"30,""Melanacanthus_sp_CMF_0416"""
"31,""Melanacanthus_scutellaris_CMF_0420"""
"32,""Tenosius_sp_CMF_0966"""
"33,""Hyalymenus_longispinus_CMF_0339"""
"34,""Hyalymenus_sp_WTP_CMF_1139"""
"35,""Hyalymenus_pulcher_CMF_0546"""
"36,""Hyalymenus_sp_CMF_0336"""
"37,""Anoplocerus_luteus_CMF_0989"""
"38,""Arenocoris_waltlii_CMF_0911"""
"39,""Bathysolen_nubilus_CMF_0602"""
"40,""Coriomeris_affinis_CMF_0935"""
"41,""Coriomeris_denticulatus_CMF_0979"""
"42,""Coriomeris_nigricornis_CMF_0560"""
"43,""Strobilotoma_typhaecornis_CMF_0923"""
"44,""Ceraleptus_gracilicornis_CMF_0988"""
"45,""Nemocoris_falleni_CMF_0994"""
"46,""Ceraleptus_obtusus_CMF_0931"""
"47,""Hoplolomia_scabricula_CMF_0857"""
"48,""Pseudomyla_cornuta_CMF_01122"""
"49,""Psilolomia_brunneofusca_CMF_0803"""
"50,""Psilolomia_parva_CMF_0871"""
"51,""Mevanidea_hystrix_CMF_1088"""
"52,""Mevanidea_spiniceps_CMF_0950_0953"""
"53,""Paramyla_suspecta_CMF_0807"""
"54,""Myla_sp_CMF_0091"""
"55,""Vilga_dallasi_CMF_1047"""
"56,""Vilga_sanctipauli_CMF_1048"""
"57,""Vilga_westwoodi_CMF_1050"""
"58,""Clavigralla_elongata_CMF_0944"""
"59,""Clavigralla_minor_CMF_0334"""
"60,""Clavigralla_shadabi_CMF_0056"""
"61,""Clavigralla_pusilla_CMF_0952_0960"""
"62,""Clavigralla_sp_CMF_0335"""
"63,""Clavigralloides_acantharis_CMF_0797"""
"64,""Gralliclava_horrens_CMF_1165"""
"65,""Gralliclava_sp_CMF_0745"""
"66,""Leptocorisa_acuta_CMF_0645"""
"67,""Leptocorisa_bipunctata_CMF_0896"""
"68,""Stenocoris_filiformis_CMF_0758"""
"69,""Stenocoris_furcifera_CMF_0879"""
"70,""Stenocoris_sp_CMF_0315_STANDARD"""
"71,""Stenocoris_tipuloides_CMF_0174"""
"72,""Mutusca_brevicornis_CMF_0417"""
"73,""Micrelytrinae_sp_CMF_0161_STANDARD"""
"74,""Hydara_tenuicornis_CMF_0040"""
"75,""Hydarella_chiangdaoensis_CMF_1129"""
"76,""Hydaropsis_longirostris_CMF_0817"""
"77,""Madura_fuscoclavata_CMF_1078"""
"78,""Maduranoides_chemsaki_CMF_1017"""
"79,""Halyomorpha_halys_halhal1"""
"80,""Dysdercus_suturellus_CMF_0305"""
"81,""Dysdercus_mimus_CMF_0110"""
"82,""Largus_sp_CMF_0230"""
"83,""Oncopeltus_fasciatus_oncfas1"""
"84,""nr_Oedancala_sp_U23"""
"85,""Harmostes_serratus_CMF_0401"""
"86,""Jadera_haematoloma_CMF_0281"""
"87,""Grammopoecilus_angustatus_CMF_0839"""
"88,""Nematopus_lepidus_CMF_0071"""
"89,""Lycambes_sargi_CMF_0049"""
"90,""Mozena_lineolata_CMF_0026"""
"91,""Mozena_lurida_CMF_0050"""
"92,""Piezogaster_calcarator_CMF_0877"""
"93,""Ouranion_serrulatus_CMF_0337"""
"94,""Melucha_quadrivittis_CMF_0157"""
"95,""Thasus_neocalifornicus_CMF_0190"""
"96,""Thasus_sp_CMF_0292"""
"97,""Agriopocoris_chadwicki_CMF_1143"""
"98,""Agriopocoris_froggatti_CMF_1144"""
"99,""Agriopocostella_regulosa_CMF_1154"""
"100,""Tylocryptus_egenus_CMF_1142"""
"101,""Hygia_sp_CMF_0809"""
"102,""Typhlocolpura_chinai_CMF_0006"""
"103,""Homalocolpura_parrilloi_CMF_0609"""
"104,""Amorbus_alternatus_CMF_1086"""
"105,""Mirabilamorbus_n_sp_CMF_1149"""
"106,""Gelonus_tasmanicus_CMF_1152"""
"107,""Anoplocnemis_curvipes_CMF_0332"""
"108,""Anoplocnemis_phasiana_CMF_0761"""
"109,""Anoplocnemis_sp_CMF_0020"""
"110,""Anoplocnemis_sp_CMF_0052"""
"111,""Elasmopoda_sp_CMF_0333"""
"112,""Elasmopoda_alata_CMF_0675"""
"113,""Plectropoda_cruciata_CMF_0037"""
"114,""Plectropoda_sp_CMF_0022"""
"115,""Mygdonia_tuberculosa_CMF_0053"""
"116,""Plectropodoides_dallastai_CMF_0854"""
"117,""Dianomictis_expansa_CMF_0684"""
"118,""Molipteryx_lunata_CMF_0818"""
"119,""Prionolomia_yunnanensis_CMF_0554"""
"120,""Mictis_longicornis_CMF_0184"""
"121,""Pternistria_bispina_CMF_0698"""
"122,""Mictis_profana_CMF_0412"""
"123,""Cloresmus_antennatus_CMF_0634"""
"124,""Cloresmus_sp_CMF_0743"""
"125,""Notobitus_nr_affinis_CMF_0530"""
"126,""Notobitus_sexguttatus_CMF_0747"""
"127,""Notobitus_meleagris_CMF_0529"""
"128,""Dalader_planiventris_CMF_0737"""
"129,""Latimbus_concolor_CMF_0827"""
"130,""Latimbus_refulgens_CMF_0650"""
"131,""Odontocurtus_consociatus_CMF_0694"""
"132,""Odontorhopala_callosa_CMF_0697"""
"133,""Cletoliturus_lituripennis_CMF_0709"""
"134,""Cletomorpha_benita_CMF_0820"""
"135,""Cletomorpha_nyasana_CMF_0748"""
"136,""Cletus_binotulatus_CMF_0767"""
"137,""Cletus_ochraceus_CMF_0152"""
"138,""Cletus_sp_CMF_0765"""
"139,""Coreus_marginatus_CMF_0793"""
"140,""Pephricus_paradoxus_CMF_0730"""
"141,""Tongorma_latreillii_CMF_0735"""
"142,""Haidara_producta_CMF_0824"""
"143,""Prionotylus_brevicornis_CMF_0916"""
"144,""Fracastorius_cornutus_CMF_0531"""
"145,""Homoeocerus_marginellus_CMF_0327"""
"146,""Homoeocerus_angulatus_CMF_0759"""
"147,""Homoeocerus_bipustulatus_CMF_0093"""
"148,""Prismatocerus_auriculatus_CMF_0734"""
"149,""Galaesus_hasticornis_CMF_0701"""
"150,""Manocoreus_yunnanensis_CMF_1133"""
"151,""Althos_obscurator_CMF_0870"""
"152,""Vazquezitocoris_repletus_CMF_0851"""
"153,""Catorhintha_guttula_CMF_0102"""
"154,""Catorhintha_texana_CMF_0070"""
"155,""Scolopocerus_secundarius_CMF_0808"""
"156,""Villasitocoris_inconspicuus_CMF_0822"""
"157,""Athaumastus_subterlineatus_CMF_0528"""
"158,""Crinocerus_sanctus_CMF_0860"""
"159,""Euthochtha_galeator_CMF_0162"""
"160,""Acanthocerus_crucifer_CMF_0541"""
"161,""Camptischium_clavipes_CMF_0548"""
"162,""Zoreva_lacerna_CMF_0813"""
"163,""Zoreva_lobulata_CMF_0549"""
"164,""Chariesterus_antennator_CMF_0103"""
"165,""Chariesterus_armatus_CMF_0744"""
"166,""Plapigus_abdominalis_CMF_0002"""
"167,""Hypselonotus_bitrianguliger_CMF_0073"""
"168,""Hypselonotus_fulvus_CMF_0145"""
"169,""Hypselonotus_lineatus_CMF_0027"""
"170,""Hypselonotus_punctiventris_CMF_0784"""
"171,""Merocoris_curtatus_CMF_0821"""
"172,""Merocoris_typhaeus_CMF_0523"""
"173,""Merocoris_elevatus_CMF_0736"""
"174,""Cebrenis_danieli_CMF_0158"""
"175,""Zicca_commaculata_CMF_0055"""
"176,""Zicca_rubricator_CMF_0135"""
"177,""Zicca_taeniola_CMF_0365"""
"178,""Leptoglossus_ashmeadi_CMF_0124"""
"179,""Leptoglossus_concolor_CMF_0015"""
"180,""Leptoglossus_clypealis_CMF_0463"""
"181,""Leptoglossus_oppositus_CMF_0475"""
"182,""Leptoglossus_zonatus_CMF_0148"""
"183,""Leptoglossus_phyllopus_CMF_0107"""
"184,""Leptoglossus_corculus_CMF_0785"""
"185,""Leptoglossus_fulvicornis_CMF_0762"""
"186,""Leptoglossus_gonagra_FL_CMF_0669"""
"187,""Phthiacnemia_picta_CMF_0350"""
"188,""Narnia_femorata_CMF_0111"""
"189,""Narnia_snowi_CMF_0208"""
"190,""Leptoscelis_quadrisignatus_CMF_0076"""
"191,""Leptoscelis_tricolor_CMF_0079"""
"192,""Anasa_andresii_CMF_0165"""
"193,""Anasa_tristis_CMF_0760"""
"194,""Paryphes_pulchellus_CMF_0858"""
"195,""Anasa_bellator_CMF_0316"""
"196,""Anasa_varicornis_CMF_0005"""
"197,""Anasa_scorbutica_CMF_0169"""
"198,""Anisoscelis_alipes_CMF_0018"""
"199,""Anisoscelis_gradadius_CMF_0137"""
"200,""Chondrocera_laticornis_CMF_0662"""
"201,""Holhymenia_sp_CMF_0051"""
"202,""Holhymenia_tibialis_CMF_0801"""
"203,""Chelinidea_tabulata_CMF_0233"""
"204,""Chelinidea_vittiger_CMF_0220"""
"205,""Plaxiscelis_limbata_CMF_0072"""
"206,""Stenoeurilla_aenescens_CMF_0083"""
"207,""Stenoeurilla_mesoamericana_CMF_0402"""
"208,""Laminiceps_vergarae_CMF_0800"""
"209,""Petalops_distinctus_CMF_0810"""
"210,""Stenometapodus_ambiguus_CMF_0845"""
"211,""Stenometapodus_v_luteum_CMF_0844"""
"212,""Zygometapodus_castaneus_CMF_0798"""
"213,""Acanthocephala_thomasi_CMF_0028"""
